Angle,Sensor1_SNR,Sensor1_SPL,Sensor1_THD,Sensor1_SpectralFlatness,Sensor2_SNR,Sensor2_SPL,Sensor2_THD,Sensor2_SpectralFlatness,Sensor3_SNR,Sensor3_SPL,Sensor3_THD,Sensor3_SpectralFlatness,Sensor4_SNR,Sensor4_SPL,Sensor4_THD,Sensor4_SpectralFlatness
-15,149.77132624653058,143.75072633325095,5.591145473521243,0.49733290922738316,135.76131229599983,129.74071238272018,5.593389896128235,0.4948319611259642,130.1168046149423,124.09620470166267,5.593918412163648,0.470588445952378,149.77344444369893,143.75284453041934,5.5933216702437445,0.4972925900492957
-10,149.98169223384593,143.96109232056634,5.592322182034643,0.49729236560732626,134.6467182305154,128.6261183172358,5.595003209330564,0.4941853916874278,130.88808642302334,124.86748650974374,5.591990217104582,0.4778407326461284,149.98166853829707,143.96106862501742,5.593318813862343,0.49726592666692987
-5,150.1920582211613,144.17145830788166,5.593498890548044,0.49725182198726936,133.532124165031,127.51152425175138,5.596616522532893,0.49353882224889134,131.65936823110442,125.63876831782478,5.590062022045518,0.4850930193398789,150.18989263289515,144.16929271961556,5.593315957480942,0.49723926328456397
0,150.40242420847667,144.38182429519702,5.5946755990614445,0.49721127836721235,132.4175300995466,126.39693018626699,5.598229835735222,0.4928922528103549,132.43065003918545,126.41005012590583,5.588133826986454,0.49234530603362936,150.39811672749326,144.37751681421364,5.5933131010995405,0.4972125999021981
5,150.19618877075666,144.17558885747707,5.593557665030419,0.49717795131561815,131.6383167154533,125.61771680217367,5.599911021418228,0.4857956004891633,133.53874700713274,127.5181470938531,5.588692903263735,0.49314475882618625,150.19244539348654,144.1718454802069,5.592489104040203,0.497179452011755
10,149.9899533330367,143.96935341975708,5.592439730999395,0.4971446242640239,130.85910333135996,124.83850341808034,5.601592207101232,0.47869894816797165,134.64684397508,128.62624406180038,5.589251979541016,0.49394421161874313,149.9867740594798,143.9661741462002,5.591665106980864,0.4971463041213118
15,149.78371789531676,143.76311798203713,5.591321796968371,0.4971112972124296,130.07988994726665,124.05929003398703,5.603273392784238,0.47160229584677993,135.75494094302726,129.73434102974764,5.5898110558182985,0.4947436644113,149.7811027254731,143.76050281219347,5.590841109921525,0.49711315623086866
20,149.57748245759677,143.55688254431715,5.590203862937346,0.4970779701608353,129.3006765631733,123.28007664989372,5.604954578467242,0.4645056435255883,136.86303791097455,130.8424379976949,5.59037013209558,0.4955431172038569,149.57543139146637,143.55483147818674,5.590017112862188,0.4970800083404255
25,149.37124701987682,143.35064710659717,5.5890859289063215,0.497044643109241,128.52146317908,122.5008632658004,5.606635764150247,0.45740899120439665,137.9711348789218,131.9505349656422,5.590929208372862,0.49634256999641385,149.36976005745964,143.34916014418002,5.589193115802849,0.49704686044998225
30,149.16501158215684,143.1444116688772,5.587967994875297,0.49701131605764676,127.74224979498669,121.72164988170707,5.608316949833252,0.45031233888320504,139.07923184686908,133.05863193358945,5.5914882846501435,0.49714202278897074,149.16408872345292,143.1434888101733,5.58836911874351,0.49701371255953913
35,148.3703271043786,142.34972719109896,5.588064211367099,0.4970315084032851,129.35296376303305,123.3323638497534,5.604932623979228,0.4580574161168988,139.43498954628177,133.41438963300214,5.590735508714536,0.49712671713555395,148.36622478579386,142.34562487251424,5.58858069920197,0.4970725665992329
40,147.5756426266003,141.5550427133207,5.588160427858901,0.4970517007489234,130.9636777310794,124.94307781779976,5.601548298125203,0.46580249335059254,139.79074724569443,133.7701473324148,5.589982732778929,0.4971114114821372,147.5683608481348,141.54776093485518,5.588792279660431,0.4971314206389267
45,146.78095814882204,140.7603582355424,5.588256644350703,0.4970718930945617,132.57439169912575,126.55379178584612,5.598163972271179,0.4735475705842863,140.14650494510713,134.12590503182747,5.589229956843321,0.4970961058287205,146.77049691047577,140.74989699719612,5.58900386011889,0.4971902746786205
50,145.9862736710438,139.96567375776416,5.588352860842504,0.4970920854401999,134.1851056671721,128.16450575389246,5.594779646417154,0.4812926478179801,140.5022626445198,134.48166273124014,5.588477180907714,0.49708080017530376,145.9726329728167,139.9520330595371,5.58921544057735,0.4972491287183143
55,145.19158919326551,139.1709892799859,5.588449077334306,0.4971122777858382,135.79581963521844,129.7752197219388,5.591395320563129,0.48903772505167387,140.85802034393245,134.83742043065283,5.587724404972106,0.4970654945218869,145.17476903515765,139.15416912187803,5.589427021035811,0.497307982758008
